"eventType"; "eventType_subCategory"; "description"; "creation_date"; "valid_until"; "link"; "lng"; "lat"
event; market; Ackerstrasse, Mitte; 2016-01-14 10:00:00+00:00; 2016-01-14 17:00:00+00:00;;13.3903632;52.5353419;
event; market; Nettelbeckplatz, Wedding; 2016-01-12 10:00:00+00:00; 2016-01-12 17:00:00+00:00;;13.3694961;52.5449303;
event; market; Nettelbeckplatz, Wedding; 2016-01-15 10:00:00+00:00; 2016-01-15 17:00:00+00:00;;13.3694961;52.5449303;
event; market; Jagowstrasse zwischen Levetzow- und Agricolastrasse, Moabit; 2016-01-13 07:00:00+00:00; 2016-01-13 12:00:00+00:00;;13.3337916;52.520093;
event; market; Jagowstrasse zwischen Levetzow- und Agricolastrasse, Moabit; 2016-01-16 07:00:00+00:00; 2016-01-16 12:00:00+00:00;;13.3337916;52.520093;
event; market; Hackescher Markt, Mitte; 2016-01-14 08:00:00+00:00; 2016-01-14 17:00:00+00:00;;13.4023091;52.5236811;
event; market; Hackescher Markt, Mitte; 2016-01-16 09:00:00+00:00; 2016-01-16 17:00:00+00:00;;13.4023091;52.5236811;
event; market; Bauernmarkt am Zionskirchplatz, Mitte; 2016-01-14 10:00:00+00:00; 2016-01-14 17:30:00+00:00;;13.406667;52.519444;
event; market; Maybachufer, Neukoelln; 2016-01-12 10:00:00+00:00; 2016-01-12 17:30:00+00:00;;13.4305323;52.4926667;
event; market; Maybachufer, Neukoelln; 2016-01-15 10:00:00+00:00; 2016-01-15 17:30:00+00:00;;13.4305323;52.4926667;
event; market; Karl-Marx-Platz, Neukoelln; 2016-01-16 07:00:00+00:00; 2016-01-16 13:00:00+00:00;;13.4421308;52.473879;
event; market; Karl-Marx-Platz, Neukoelln; 2016-01-13 10:00:00+00:00; 2016-01-13 17:00:00+00:00;;13.4421308;52.473879;
event; market; Britz-Sued Gutschmidtstrasse, Britz; 2016-01-11 07:00:00+00:00; 2016-01-11 12:00:00+00:00;;13.4397356;52.4467481;
event; market; Britz-Sued Gutschmidtstrasse, Britz; 2016-01-16 07:00:00+00:00; 2016-01-16 12:00:00+00:00;;13.4397356;52.4467481;
event; market; Britz-Sued Gutschmidtstrasse, Britz; 2016-01-14 08:00:00+00:00; 2016-01-14 17:00:00+00:00;;13.4397356;52.4467481;
event; market; Fritz-Reuter-Allee, Britz; 2016-01-12 08:00:00+00:00; 2016-01-12 17:00:00+00:00;;13.4494779;52.44426;
event; market; Fritz-Reuter-Allee, Britz; 2016-01-12 07:00:00+00:00; 2016-01-12 12:00:00+00:00;;13.4494779;52.44426;
event; market; Prierosser Strasse, Rudow; 2016-01-13 07:00:00+00:00; 2016-01-13 12:00:00+00:00;;13.4956388;52.4206229;
event; market; Prierosser Strasse, Rudow; 2016-01-16 07:00:00+00:00; 2016-01-16 12:00:00+00:00;;13.4956388;52.4206229;
event; market; Rotraut-Richter-Platz, Gropiusstadt; 2016-01-13 08:00:00+00:00; 2016-01-13 17:00:00+00:00;;13.4746142;52.4233011;
event; market; Rotraut-Richter-Platz, Gropiusstadt; 2016-01-16 07:00:00+00:00; 2016-01-16 12:00:00+00:00;;13.4746142;52.4233011;
event; market; Hermannplatz, Neukoelln; 2016-01-12 09:00:00+00:00; 2016-01-12 17:00:00+00:00;;13.4249845;52.487067;
event; market; Hermannplatz, Neukoelln; 2016-01-13 09:00:00+00:00; 2016-01-13 17:00:00+00:00;;13.4249845;52.487067;
event; market; Hermannplatz, Neukoelln; 2016-01-14 09:00:00+00:00; 2016-01-14 17:00:00+00:00;;13.4249845;52.487067;
event; market; Hermannplatz, Neukoelln; 2016-01-15 09:00:00+00:00; 2016-01-15 17:00:00+00:00;;13.4249845;52.487067;
event; market; Schillermarkt am Herrfurthplatz, Neukoelln; 2016-01-16 09:00:00+00:00; 2016-01-16 15:00:00+00:00;;13.4219655;52.4775083;
event; market; Lipschitzplatz, Gropiusstadt; 2016-01-11 09:00:00+00:00; 2016-01-11 17:00:00+00:00;;13.4671971;52.4271068;
event; market; Lipschitzplatz, Gropiusstadt; 2016-01-13 09:00:00+00:00; 2016-01-13 17:00:00+00:00;;13.4671971;52.4271068;
event; market; Lipschitzplatz, Gropiusstadt; 2016-01-15 09:00:00+00:00; 2016-01-15 17:00:00+00:00;;13.4671971;52.4271068;
event; market; Breite Strasse (Mittelpromenade), Pankow; 2016-01-16 07:00:00+00:00; 2016-01-16 14:00:00+00:00;;13.4317001;52.5928787;
event; market; Breite Strasse (Mittelpromenade), Pankow; 2016-01-12 07:00:00+00:00; 2016-01-12 12:00:00+00:00;;13.4317001;52.5928787;
event; market; Breite Strasse (Mittelpromenade), Pankow; 2016-01-15 07:00:00+00:00; 2016-01-15 12:00:00+00:00;;13.4317001;52.5928787;
event; market; Breite Strasse (Mittelpromenade), Pankow; 2016-01-13 07:00:00+00:00; 2016-01-13 16:00:00+00:00;;13.4317001;52.5928787;
event; market; Markt am Hugenottenplatz, Buchholz; 2016-01-16 08:00:00+00:00; 2016-01-16 12:00:00+00:00;;13.4200511;52.6070184;
event; market; Hauptstrasse / Goethestrasse, Wilhelmsruh; 2016-01-13 07:00:00+00:00; 2016-01-13 13:00:00+00:00;;13.3639929;52.5875896;
event; market; Hauptstrasse / Goethestrasse, Wilhelmsruh; 2016-01-15 07:00:00+00:00; 2016-01-15 13:00:00+00:00;;13.3639929;52.5875896;
